ID,Title,Description,URL,SKU,Brand,Group,HTML snippet
59817,SMC TCU0805B-2-5-X6 POLYURETHANE COIL TUBING incl VAT,SMC TCU0805B-2-5-X6 POLYURETHANE COIL TUBING incl VAT Contact us for lead time.  Min Order 1 For the adsorption of general workpieces,https://iknan.co.uk/product/change-of-coil-turns-and-color-tcu-x6-tcu0805b-2-5-x6-smc/,TCU0805B-2-5-X6,SMC,4,<section id='p59817'><h2><a href='https://iknan.co.uk/product/change-of-coil-turns-and-color-tcu-x6-tcu0805b-2-5-x6-smc/'>SMC TCU0805B-2-5-X6 POLYURETHANE COIL TUBING incl VAT</a></h2><p>SMC TCU0805B-2-5-X6 POLYURETHANE COIL TUBING incl VAT Contact us for lead time.  Min Order 1 For the adsorption of general workpieces</p><p><a href='https://iknan.co.uk/product/change-of-coil-turns-and-color-tcu-x6-tcu0805b-2-5-x6-smc/' target='_blank'>View product</a></p></section>
59818,SMC MHF2-8D1R LOW PROFILE AIR GRIPPER incl VAT,"SMC MHF2-8D1R LOW PROFILE AIR GRIPPER incl VAT Contact us for lead time.  Min Order 1 Applicable tubing O.D.: Ø 4 to Ø 12 mm
1 to 3 tubes
Colours: black, white, blue, yellow, green, clear and orange.",https://iknan.co.uk/product/mhf2-air-gripper-2-finger-low-profile-mhf2-8d1r-smc/,MHF2-8D1R,SMC,4,"<section id='p59818'><h2><a href='https://iknan.co.uk/product/mhf2-air-gripper-2-finger-low-profile-mhf2-8d1r-smc/'>SMC MHF2-8D1R LOW PROFILE AIR GRIPPER incl VAT</a></h2><p>SMC MHF2-8D1R LOW PROFILE AIR GRIPPER incl VAT Contact us for lead time.  Min Order 1 Applicable tubing O.D.: Ø 4 to Ø 12 mm<br/>1 to 3 tubes<br/>Colours: black, white, blue, yellow, green, clear and orange.</p><p><a href='https://iknan.co.uk/product/mhf2-air-gripper-2-finger-low-profile-mhf2-8d1r-smc/' target='_blank'>View product</a></p></section>"
59819,SMC TPS0805BU-20 POLYOLEFIN TUBING incl VAT,"SMC TPS0805BU-20 POLYOLEFIN TUBING incl VAT Contact us for lead time.  Min Order 1 Extremely narrow profile
Bore sizes (mm): 8, 12, 16 and 20
Strokes from 4mm to 40mm
Compact auto switches are directly mountable.",https://iknan.co.uk/product/soft-polyolefin-tps-tps0805bu-20-smc/,TPS0805BU-20,SMC,4,"<section id='p59819'><h2><a href='https://iknan.co.uk/product/soft-polyolefin-tps-tps0805bu-20-smc/'>SMC TPS0805BU-20 POLYOLEFIN TUBING incl VAT</a></h2><p>SMC TPS0805BU-20 POLYOLEFIN TUBING incl VAT Contact us for lead time.  Min Order 1 Extremely narrow profile<br/>Bore sizes (mm): 8, 12, 16 and 20<br/>Strokes from 4mm to 40mm<br/>Compact auto switches are directly mountable.</p><p><a href='https://iknan.co.uk/product/soft-polyolefin-tps-tps0805bu-20-smc/' target='_blank'>View product</a></p></section>"
59834,SMC VNA201A-F15A 2 PORT PROCESS VALVE incl VAT,"SMC VNA201A-F15A 2 PORT PROCESS VALVE incl VAT Contact us for lead time.  Min Order 1 The clean tubing series TP consists of a  polyolefin tubing (TPH), and a soft poly- olefin tubing (TPS).  Both are available in six different colors and available in 20m or 100m bundles.",https://iknan.co.uk/product/vna-air-operated-process-valve-for-air-vna201a-f15a-smc/,VNA201A-F15A,SMC,4,"<section id='p59834'><h2><a href='https://iknan.co.uk/product/vna-air-operated-process-valve-for-air-vna201a-f15a-smc/'>SMC VNA201A-F15A 2 PORT PROCESS VALVE incl VAT</a></h2><p>SMC VNA201A-F15A 2 PORT PROCESS VALVE incl VAT Contact us for lead time.  Min Order 1 The clean tubing series TP consists of a  polyolefin tubing (TPH), and a soft poly- olefin tubing (TPS).  Both are available in six different colors and available in 20m or 100m bundles.</p><p><a href='https://iknan.co.uk/product/vna-air-operated-process-valve-for-air-vna201a-f15a-smc/' target='_blank'>View product</a></p></section>"
59835,SMC SY5120-5YOD-C8F-Q Solenoid valve incl VAT,SMC SY5120-5YOD-C8F-Q Solenoid valve incl VAT Contact us for lead time.  Min Order 1 Model VNA process valve is for compressed air and air-hydro circuit control.,https://iknan.co.uk/product/sy5000-5-port-solenoid-valve-all-types-sy5120-5yod-c8f-q-smc/,SY5120-5YOD-C8F-Q,SMC,4,<section id='p59835'><h2><a href='https://iknan.co.uk/product/sy5000-5-port-solenoid-valve-all-types-sy5120-5yod-c8f-q-smc/'>SMC SY5120-5YOD-C8F-Q Solenoid valve incl VAT</a></h2><p>SMC SY5120-5YOD-C8F-Q Solenoid valve incl VAT Contact us for lead time.  Min Order 1 Model VNA process valve is for compressed air and air-hydro circuit control.</p><p><a href='https://iknan.co.uk/product/sy5000-5-port-solenoid-valve-all-types-sy5120-5yod-c8f-q-smc/' target='_blank'>View product</a></p></section>
59836,SMC CQSB25-40DCM COMPACT CYLINDER incl VAT,SMC CQSB25-40DCM COMPACT CYLINDER incl VAT Contact us for lead time.  Min Order 1 Series SY offers major advances in valve performance for cost-effective solutions to your requirements.  The series offers high flow with low power consumption in a compact design.  The SY is available in body ported or base mounted styles and can be used individually or manifold mounted.,https://iknan.co.uk/product/cdqs-compact-cylinder-double-acting-single-rod-cqsb25-40dcm-smc/,CQSB25-40DCM,SMC,4,<section id='p59836'><h2><a href='https://iknan.co.uk/product/cdqs-compact-cylinder-double-acting-single-rod-cqsb25-40dcm-smc/'>SMC CQSB25-40DCM COMPACT CYLINDER incl VAT</a></h2><p>SMC CQSB25-40DCM COMPACT CYLINDER incl VAT Contact us for lead time.  Min Order 1 Series SY offers major advances in valve performance for cost-effective solutions to your requirements.  The series offers high flow with low power consumption in a compact design.  The SY is available in body ported or base mounted styles and can be used individually or manifold mounted.</p><p><a href='https://iknan.co.uk/product/cdqs-compact-cylinder-double-acting-single-rod-cqsb25-40dcm-smc/' target='_blank'>View product</a></p></section>
59837,SMC ARJ310F-01B-04 MINIATURE REGULATOR incl VAT,"SMC ARJ310F-01B-04 MINIATURE REGULATOR incl VAT Contact us for lead time.  Min Order 1 The CQS compact cylinder is available for those small bore cylinder applications where saving space  is a concern.  While sharing many of the outstanding  features of the CQ2 series, the CQS offers standard long strokes (up to 300mm) in four bore sizes from 12 to 25mm.  Long stroke versions incorporate a wear band and thicker piston to handle the increased bearing needs of the longer strokes.  Both switch capable and non-switch capable body styles are the  same, and switches can be mounted on three (12-16 bore) and four (20-25 bore) sides.  An increased side load  version (CQS*S) is available for more demanding applications.",https://iknan.co.uk/product/arj310-miniature-regulator-series-arj310f-01b-04-smc/,ARJ310F-01B-04,SMC,4,"<section id='p59837'><h2><a href='https://iknan.co.uk/product/arj310-miniature-regulator-series-arj310f-01b-04-smc/'>SMC ARJ310F-01B-04 MINIATURE REGULATOR incl VAT</a></h2><p>SMC ARJ310F-01B-04 MINIATURE REGULATOR incl VAT Contact us for lead time.  Min Order 1 The CQS compact cylinder is available for those small bore cylinder applications where saving space  is a concern.  While sharing many of the outstanding  features of the CQ2 series, the CQS offers standard long strokes (up to 300mm) in four bore sizes from 12 to 25mm.  Long stroke versions incorporate a wear band and thicker piston to handle the increased bearing needs of the longer strokes.  Both switch capable and non-switch capable body styles are the  same, and switches can be mounted on three (12-16 bore) and four (20-25 bore) sides.  An increased side load  version (CQS*S) is available for more demanding applications.</p><p><a href='https://iknan.co.uk/product/arj310-miniature-regulator-series-arj310f-01b-04-smc/' target='_blank'>View product</a></p></section>"
59838,SMC ITV0010-3BS COMP E/P REGULAT Incl VAT,"Brand: SMC<br>PART NUMBER: ITV0010-3BS<br>DESCRIPTION: ITV00**, Compact Electro-Pneumatic Regulator<br>PROPERTIES/VALUES: Pressure Range:  1 (0.001 to 0.1 MPa)
Power Voltage:  0 (DC24V)
Input Signal:  3 (Voltage Style 0~10 V DC)
Built-in One-touch Fitting:  Metric Size One-touch Fitting
Base Type:  Single Unit [Standard Base Type]
Bracket:  B (Flat Bracket for Standard Base Type
Cable Connector:  S (Straight Type 3 M)<br>LONG DESCRIPTION: Compact and lightweight
Enclosure: IP65
Integrated LED display
Power consumption: 4 W or less
Communication models: IO-Link, analogue (current and voltage), digital signals, preset input, CC-Link, DeviceNet™, PROFIBUS DP, RS-232C.<br>BULLET POINTS: Pressure range: 0.005 to 0.9 MPa or -1 to -101 kPa
Maximum flow rate: 6 l/min (ANR)
Port sizes: built-in one-touch fittings (diameter 4 mm, diameter 5/32 inches)
Error indication LED.<br>CONFIGURATOR URL: https://www.smc.eu/en-gb/products/itv00-compact-electro-pneumatic-regulator~134576~cfg?partNumber=ITV0010-3BS<br>PDF: https://content2.smcetech.com/pdf/ITV-G_EU.pdf<br>DATASHEET: https://www.smc.eu/en-gb/direct-datasheet?partNumber=ITV0010-3BS&productId=134576<br>OPERATION MANUALS: https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/operation-manuals/en/itv0000_op_man_itv0-om00002.pdf
https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/operation-manuals/en/om_itv0_om00002en.pdf
<br>INSTALLATION MANUALS: https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/installationmaintenance-manuals/en/imm_itv00x_tfi10gb-a.pdf
<br>CE CERTIFICATES: https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/ce-certificates/en/newdoc_itv0000_tf1v091en.pdf
https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/ce-certificates/en/newdoc_itv0000_tf1y245en.pdf
https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/ce-certificates/en/doc_itv00x_tf00001-b.pdf
<br>Price is for Pack Size of: 1<br>Lead Time: 3<br>Price includes VAT (shipping calculated at cart)<br>Net price: 226.47<br>Price per unit: 226.47",https://iknan.co.uk/product/itv00-compact-electro-pneumatic-regulator-itv0010-3bs-smc/,ITV0010-3BS,SMC,4,"<section id='p59838'><h2><a href='https://iknan.co.uk/product/itv00-compact-electro-pneumatic-regulator-itv0010-3bs-smc/'>SMC ITV0010-3BS COMP E/P REGULAT Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: ITV0010-3BS<br>DESCRIPTION: ITV00**, Compact Electro-Pneumatic Regulator<br>PROPERTIES/VALUES: Pressure Range:  1 (0.001 to 0.1 MPa)<br/>Power Voltage:  0 (DC24V)<br/>Input Signal:  3 (Voltage Style 0~10 V DC)<br/>Built-in One-touch Fitting:  Metric Size One-touch Fitting<br/>Base Type:  Single Unit [Standard Base Type]<br/>Bracket:  B (Flat Bracket for Standard Base Type<br/>Cable Connector:  S (Straight Type 3 M)<br>LONG DESCRIPTION: Compact and lightweight<br/>Enclosure: IP65<br/>Integrated LED display<br/>Power consumption: 4 W or less<br/>Communication models: IO-Link, analogue (current and voltage), digital signals, preset input, CC-Link, DeviceNet™, PROFIBUS DP, RS-232C.<br>BULLET POINTS: Pressure range: 0.005 to 0.9 MPa or -1 to -101 kPa<br/>Maximum flow rate: 6 l/min (ANR)<br/>Port sizes: built-in one-touch fittings (diameter 4 mm, diameter 5/32 inches)<br/>Error indication LED.<br>CONFIGURATOR URL: https://www.smc.eu/en-gb/products/itv00-compact-electro-pneumatic-regulator~134576~cfg?partNumber=ITV0010-3BS<br>PDF: https://content2.smcetech.com/pdf/ITV-G_EU.pdf<br>DATASHEET: https://www.smc.eu/en-gb/direct-datasheet?partNumber=ITV0010-3BS&productId=134576<br>OPERATION MANUALS: https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/operation-manuals/en/itv0000_op_man_itv0-om00002.pdf<br/>https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/operation-manuals/en/om_itv0_om00002en.pdf<br/><br>INSTALLATION MANUALS: https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/installationmaintenance-manuals/en/imm_itv00x_tfi10gb-a.pdf<br/><br>CE CERTIFICATES: https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/ce-certificates/en/newdoc_itv0000_tf1v091en.pdf<br/>https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/ce-certificates/en/newdoc_itv0000_tf1y245en.pdf<br/>https://static.smc.eu/binaries/content/assets/smc_global/product-documentation/ce-certificates/en/doc_itv00x_tf00001-b.pdf<br/><br>Price is for Pack Size of: 1<br>Lead Time: 3<br>Price includes VAT (shipping calculated at cart)<br>Net price: 226.47<br>Price per unit: 226.47</p><p><a href='https://iknan.co.uk/product/itv00-compact-electro-pneumatic-regulator-itv0010-3bs-smc/' target='_blank'>View product</a></p></section>"
59839,SMC SY5320-5LOUD-01F-Q 5 PORT SOLENOID VALVE incl VAT,"SMC SY5320-5LOUD-01F-Q 5 PORT SOLENOID VALVE incl VAT Contact us for lead time.  Min Order 1 Compact and lightweight
Enclosure: IP65
Integrated LED display
Power consumption: 4 W or less
Communication models: IO-Link, analogue (current and voltage), digital signals, preset input, CC-Link, DeviceNet™, PROFIBUS DP, RS-232C.",https://iknan.co.uk/product/sy5000-5-port-solenoid-valve-all-types-sy5320-5loud-01f-q-smc/,SY5320-5LOUD-01F-Q,SMC,4,"<section id='p59839'><h2><a href='https://iknan.co.uk/product/sy5000-5-port-solenoid-valve-all-types-sy5320-5loud-01f-q-smc/'>SMC SY5320-5LOUD-01F-Q 5 PORT SOLENOID VALVE incl VAT</a></h2><p>SMC SY5320-5LOUD-01F-Q 5 PORT SOLENOID VALVE incl VAT Contact us for lead time.  Min Order 1 Compact and lightweight<br/>Enclosure: IP65<br/>Integrated LED display<br/>Power consumption: 4 W or less<br/>Communication models: IO-Link, analogue (current and voltage), digital signals, preset input, CC-Link, DeviceNet™, PROFIBUS DP, RS-232C.</p><p><a href='https://iknan.co.uk/product/sy5000-5-port-solenoid-valve-all-types-sy5320-5loud-01f-q-smc/' target='_blank'>View product</a></p></section>"
59840,SMC AR625-F06 REGULATOR Incl VAT,"Brand: SMC<br>PART NUMBER: AR625-F06<br>DESCRIPTION: AR*25/35, Pilot Operated Regulator<br>PROPERTIES/VALUES: Size: 6 (Size 625 Port Size 3/4, 1 Flow 14000Nl/min)
Pressure Setting: 2 (0.85MPa)
Thread: F (G(PF))
Port Size: 06 (3/4)
Accessory: None
Option: None<br>LONG DESCRIPTION: Cost effective and clean looking, series AR regulators offer various pressure range settings to accommodate most applications.  The locking adjustment knob prevents accidental setting changes.  The modular design of the AR series connects with other SMC air preparation equipment.<br>BULLET POINTS: Internal pilot relieving style (pilot air is always bleeding)
Port sizes ranging from 1/4 to 2
Optional bracket and pressure gauge<br>CONFIGURATOR URL: https://www.smc.eu/en-gb/products/ar-25-35-pilot-operated-regulator~32137~cfg?partNumber=AR625-F06<br>PDF: https://content2.smcetech.com/pdf/AR425_435_935_EU.pdf<br>Price is for Pack Size of: 1<br>Lead Time: 3<br>Price includes VAT (shipping calculated at cart)<br>Net price: 90.95<br>Price per unit: 90.95",https://iknan.co.uk/product/ar25-35-pilot-operated-regulator-ar625-f06-smc/,AR625-F06,SMC,4,"<section id='p59840'><h2><a href='https://iknan.co.uk/product/ar25-35-pilot-operated-regulator-ar625-f06-smc/'>SMC AR625-F06 REGULATOR Incl VAT</a></h2><p>Brand: SMC<br>PART NUMBER: AR625-F06<br>DESCRIPTION: AR*25/35, Pilot Operated Regulator<br>PROPERTIES/VALUES: Size: 6 (Size 625 Port Size 3/4, 1 Flow 14000Nl/min)<br/>Pressure Setting: 2 (0.85MPa)<br/>Thread: F (G(PF))<br/>Port Size: 06 (3/4)<br/>Accessory: None<br/>Option: None<br>LONG DESCRIPTION: Cost effective and clean looking, series AR regulators offer various pressure range settings to accommodate most applications.  The locking adjustment knob prevents accidental setting changes.  The modular design of the AR series connects with other SMC air preparation equipment.<br>BULLET POINTS: Internal pilot relieving style (pilot air is always bleeding)<br/>Port sizes ranging from 1/4 to 2<br/>Optional bracket and pressure gauge<br>CONFIGURATOR URL: https://www.smc.eu/en-gb/products/ar-25-35-pilot-operated-regulator~32137~cfg?partNumber=AR625-F06<br>PDF: https://content2.smcetech.com/pdf/AR425_435_935_EU.pdf<br>Price is for Pack Size of: 1<br>Lead Time: 3<br>Price includes VAT (shipping calculated at cart)<br>Net price: 90.95<br>Price per unit: 90.95</p><p><a href='https://iknan.co.uk/product/ar25-35-pilot-operated-regulator-ar625-f06-smc/' target='_blank'>View product</a></p></section>"
